uid,entity_type,channel,registrar,callsign,fccid,serial_num,rcamsl_meters,rcagl_meters,rchaat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_latitude,parent_longitude,registrant,event_start,event_end,event_duration_secs,event_rrule
131230KEYB0895283,LP_AUX,41;44,KEYB,KGW,,,,,,MULTI_POINT,,,,,,45.517804 -122.689217,,,,"KGW-TV|Mike Ranweiler|1501 SW Jefferson St.\nPortland, OR 97201\nUS|kgwmaintenance@kgw.com|(503) 226-5037",2013/12/30-08:00:00.000,2013/12/31-08:00:00.000,,
130724TELC0000003,LP_AUX,4;18;38;51,TELC,BLP01000,,,,,,MULTI_POINT,,,,,,45.526990 -122.644140,,,,KATU|Marcus Monas|||,2013/07/01-13:00:00.000,2013/07/02-13:00:00.000,,"FREQ=WEEKLY;COUNT=125;INTERVAL=1;BYDAY=SU,MO,TU,WE,TH,FR,SA;WKST=SU"
130724TELC0000003,LP_AUX,4;18;38;51,TELC,BLP01000,,,,,,MULTI_POINT,,,,,,45.526990 -122.644140,,,,KATU|Marcus Monas|||,2013/11/03-14:00:00.000,2013/11/04-14:00:00.000,,"FREQ=WEEKLY;COUNT=126;INTERVAL=1;BYDAY=SU,MO,TU,WE,TH,FR,SA;WKST=SU"
130724TELC0000003,LP_AUX,4;18;38;51,TELC,BLP01000,,,,,,MULTI_POINT,,,,,,45.526990 -122.644140,,,,KATU|Marcus Monas|||,2014/03/09-13:00:00.000,2014/03/10-13:00:00.000,,"FREQ=WEEKLY;COUNT=115;INTERVAL=1;BYDAY=SU,MO,TU,WE,TH,FR,SA;WKST=SU"
140301SPBR0000001,LP_AUX,38;33;32;34;36;42,SPBR,BLP00981,,,,,,MULTI_POINT,,,,,,37.956949 -121.295680; 38.580536 -121.513575; 38.554340 -121.457457; 37.639450 -120.998954; 37.636657 -120.995690; 38.134368 -121.275948; 38.578240 -121.487862; 37.952559 -121.287503; 38.582984 -121.497639; 38.587865 -121.491390; 38.648005 -121.517076; 38.601402 -121.427765; 37.957006 -121.291664; 38.583551 -121.494273; 38.581867 -121.493456; 38.692686 -121.587941; 37.953479 121.290718; 37.641554 -121.002623; 38.556864 -121.422916; 37.641051 -121.000400; 38.595189 -121.557163; 37.953522 -121.287961; 38.575621 -121.495812; 37.954434 -121.292958; 37.951035 -121.326613,,,,"KCRA-TV|Stefan Hadl|3 Television Circle\nSacramento, CA 95814\nUS|shadl@hearst.com|916-325-3789",2014/02/28-12:00:00.000,,79200,FREQ=DAILY;UNTIL=20140310T090000Z;INTERVAL=1;WKST=SU
140301SPBR0000001,LP_AUX,38;33;32;34;36;42,SPBR,BLP00981,,,,,,MULTI_POINT,,,,,,37.956949 -121.295680; 38.580536 -121.513575; 38.554340 -121.457457; 37.639450 -120.998954; 37.636657 -120.995690; 38.134368 -121.275948; 38.578240 -121.487862; 37.952559 -121.287503; 38.582984 -121.497639; 38.587865 -121.491390; 38.648005 -121.517076; 38.601402 -121.427765; 37.957006 -121.291664; 38.583551 -121.494273; 38.581867 -121.493456; 38.692686 -121.587941; 37.953479 121.290718; 37.641554 -121.002623; 38.556864 -121.422916; 37.641051 -121.000400; 38.595189 -121.557163; 37.953522 -121.287961; 38.575621 -121.495812; 37.954434 -121.292958; 37.951035 -121.326613,,,,"KCRA-TV|Stefan Hadl|3 Television Circle\nSacramento, CA 95814\nUS|shadl@hearst.com|916-325-3789",2014/03/10-11:00:00.000,,79200,FREQ=DAILY;UNTIL=20141102T100000Z;INTERVAL=1;WKST=SU
140301SPBR0000001,LP_AUX,38;33;32;34;36;42,SPBR,BLP00981,,,,,,MULTI_POINT,,,,,,37.956949 -121.295680; 38.580536 -121.513575; 38.554340 -121.457457; 37.639450 -120.998954; 37.636657 -120.995690; 38.134368 -121.275948; 38.578240 -121.487862; 37.952559 -121.287503; 38.582984 -121.497639; 38.587865 -121.491390; 38.648005 -121.517076; 38.601402 -121.427765; 37.957006 -121.291664; 38.583551 -121.494273; 38.581867 -121.493456; 38.692686 -121.587941; 37.953479 121.290718; 37.641554 -121.002623; 38.556864 -121.422916; 37.641051 -121.000400; 38.595189 -121.557163; 37.953522 -121.287961; 38.575621 -121.495812; 37.954434 -121.292958; 37.951035 -121.326613,,,,"KCRA-TV|Stefan Hadl|3 Television Circle\nSacramento, CA 95814\nUS|shadl@hearst.com|916-325-3789",2014/11/02-12:00:00.000,,79200,FREQ=DAILY;UNTIL=20150228T080000Z;INTERVAL=1;WKST=SU
130723SPBR0000001,LP_AUX,6;22;24;31;5;32,SPBR,BLP00766,,,,,,MULTI_QUAD,,,,,,37.786667 -122.382778; 37.813333 -122.382778; 37.813333 -122.416667; 37.786667 -122.416667,,,,"KGO Television, Inc.|Richard Tom|900 Front Street\nSan Francisco, CA 94111\nUS||(415) 954-7777",2013/11/04-10:00:00.000,,84600,FREQ=DAILY;UNTIL=20140310T083000Z;INTERVAL=1;WKST=SU
130723SPBR0000001,LP_AUX,6;22;24;31;5;32,SPBR,BLP00766,,,,,,MULTI_QUAD,,,,,,37.786667 -122.382778; 37.813333 -122.382778; 37.813333 -122.416667; 37.786667 -122.416667,,,,"KGO Television, Inc.|Richard Tom|900 Front Street\nSan Francisco, CA 94111\nUS||(415) 954-7777",2014/03/10-09:00:00.000,,84600,FREQ=DAILY;UNTIL=20140724T070000Z;INTERVAL=1;WKST=SU
140627KEYB1526487,LP_AUX,5;6;13;20;22;24;26;31;32,KEYB,WQRB615,,,,,,MULTI_POINT,,,,,,37.783922 -122.401213,,,,"Amazing Audio Inc.|Jeffrey M Jones|3400 Tessmer Rd\nAnn Arbor, MI 48103\nUS|jeffmjones@mac.com|734.216.7740",2014/08/17-13:00:00.000,2014/08/29-23:00:00.000,,
140628SPBR0000001,LP_AUX,5;6;24;31;22;32;26,SPBR,WQRB615,,,,,,MULTI_POINT,,,,,,37.783604 -122.400888,,,,"Amazing Audio Inc.|Jeffrey M Jones|3400 Tessmer Road\nAnn Arbor, MI 48103\nUS|jeffmjones@mac.com|(734) 761-1920",2014/08/17-14:00:00.000,2014/08/29-23:00:00.000,,
140101KEYB4118768,LP_AUX,20;22;24;26;31;32,KEYB,WQMP499,,,,,,MULTI_POINT,,,,,,37.782547 -122.397889,,,,"NBC|Kevin Parrish|30 ROCKEFELLER PLAZA\nNEW YORK, NY 10112\nUS|kevin.parrish@nbcuni.com|(718) 706-4900",2014/01/01-08:00:00.000,2015/01/01-07:59:59.000,,
140501SPBR0000001,LP_AUX,32;6;31;5;24;22,SPBR,wqoc724,,,,,,MULTI_POINT,,,,,,37.793388 -122.402702,,,,"Philip Perkins|Philip Perkins|735 Spokane AVe\nAlbany, CA 94706\nUS|philper@lmi.net|510-528-1679",2014/05/01-12:00:00.000,2014/05/02-06:30:00.000,,
140211SPBR0000011,LP_AUX,26,SPBR,WQNJ344,,,,,,MULTI_POINT,,,,,,37.791944 -122.410028,,,,"CNN America, Inc.|Junan Gibson|One CNN Center\nAtlanta, GA 30303\nUS|Junan.Gibson@turner.com|404-827-1500",2014/02/11-05:00:00.000,,84600,FREQ=DAILY;UNTIL=20140310T033000Z;INTERVAL=1;WKST=SU
140211SPBR0000011,LP_AUX,26,SPBR,WQNJ344,,,,,,MULTI_POINT,,,,,,37.791944 -122.410028,,,,"CNN America, Inc.|Junan Gibson|One CNN Center\nAtlanta, GA 30303\nUS|Junan.Gibson@turner.com|404-827-1500",2014/03/10-04:00:00.000,,84600,FREQ=DAILY;UNTIL=20141103T043000Z;INTERVAL=1;WKST=SU
140211SPBR0000011,LP_AUX,26,SPBR,WQNJ344,,,,,,MULTI_POINT,,,,,,37.791944 -122.410028,,,,"CNN America, Inc.|Junan Gibson|One CNN Center\nAtlanta, GA 30303\nUS|Junan.Gibson@turner.com|404-827-1500",2014/11/03-05:00:00.000,,84600,FREQ=DAILY;UNTIL=20150211T050000Z;INTERVAL=1;WKST=SU
140228SPBR0000001,LP_AUX,24,SPBR,WQLW671,,,,,,MULTI_POINT,,,,,,37.784917 -122.422194,,,,"Young Broadcasting|Bill Rinker|1001 Van Ness Ave\nSan Francisco, CA 94109\nUS||415-561-8694",2014/03/01-07:00:00.000,,84600,FREQ=DAILY;UNTIL=20140310T053000Z;INTERVAL=1;WKST=SU
140228SPBR0000001,LP_AUX,24,SPBR,WQLW671,,,,,,MULTI_POINT,,,,,,37.784917 -122.422194,,,,"Young Broadcasting|Bill Rinker|1001 Van Ness Ave\nSan Francisco, CA 94109\nUS||415-561-8694",2014/03/10-06:00:00.000,,84600,FREQ=DAILY;UNTIL=20141103T063000Z;INTERVAL=1;WKST=SU
140228SPBR0000001,LP_AUX,24,SPBR,WQLW671,,,,,,MULTI_POINT,,,,,,37.784917 -122.422194,,,,"Young Broadcasting|Bill Rinker|1001 Van Ness Ave\nSan Francisco, CA 94109\nUS||415-561-8694",2014/11/03-07:00:00.000,,84600,FREQ=DAILY;UNTIL=20150301T080000Z;INTERVAL=1;WKST=SU
140330SPBR0000001,LP_AUX,26;5;31;32;22;6;24,SPBR,wqoc724,,,,,,MULTI_POINT,,,,,,37.776252 -122.421562,,,,"Philip Perkins|Philip Perkins|735 Spokane AVe\nAlbany, CA 94706\nUS|philper@earthlink.net|510-528-1679",2014/03/31-14:30:00.000,2014/04/01-06:30:00.000,,
140414SPBR0000001,LP_AUX,48;42;24;32;5;26;31;22;6,SPBR,wqoc724,,,,,,MULTI_POINT,,,,,,37.958695 -122.536638,,,,"Philip Perkins|Philip Perkins|735 Spokane AVe\nAlbany, CA 94706\nUS|philper@earthlink.net|510-528-1679",2014/04/14-09:30:00.000,2014/04/19-03:30:00.000,,
140606SPBR0000001,LP_AUX,24;5;6;22;26,SPBR,wQOC724,,,,,,MULTI_POINT,,,,,,38.106081 -122.586883,,,,"Philip Perkins|Philip Perkins|735 Spokane AVe\nAlbany, CA 94706\nUS|philper@lmi.net|510-528-1679",2014/06/06-09:00:00.000,2014/06/07-03:30:00.000,,
140402SPBR0000003,LP_AUX,5;24;22;6,SPBR,wqoc724,,,,,,MULTI_POINT,,,,,,37.654714 -122.381973,,,,"Philip Perkins|philip Perkins|735 Spokane AVe\nAlbany, CA 94706\nUS|philper@earthlink.net|510-528-1679",2014/04/03-10:00:00.000,2014/04/04-03:30:00.000,,
140306SPBR0000001,LP_AUX,22;24;5;31;32;6;2;26,SPBR,wqoc724,,,,,,MULTI_POINT,,,,,,37.753148 -122.413732,,,,"Philip Perkins|Philip Perkins|735 Spokane AVe\nAlbany, CA 94706\nUS|philper@earthlink.net|510-528-1679",2014/03/07-10:30:00.000,2014/03/11-03:30:00.000,,
140309SPBR0000003,LP_AUX,32;22;5;6;24;31;2,SPBR,wqoc724,,,,,,MULTI_POINT,,,,,,37.807720 -122.266860,,,,"Philip Perkins|Philip Perkins|735 Spokane AVe\nAlbany, CA 94706\nUS|philper@earthlink.net|510-528-1679",2014/03/10-12:00:00.000,2014/03/11-03:30:00.000,,
140626SPBR0000001,LP_AUX,31;22;24;5;32,SPBR,wQOC724,,,,,,MULTI_POINT,,,,,,37.768774 -122.265649,,,,"Philip Perkins|Philip Perkins|735 Spokane AVe\nAlbany, CA 94706\nUS|philper@lmi.net|510-528-1679",2014/06/27-09:30:00.000,2014/06/28-03:30:00.000,,
140502SPBR0000001,LP_AUX,32;31;24;22,SPBR,WQOC724,,,,,,MULTI_POINT,,,,,,37.724226 -122.163743; 37.779774 -122.295654,,,,"Philip Perkins|Philip Perkins|7\nalbany, CA 94706\nUS|philper@lmi.net|510-528-1679",2014/05/02-12:30:00.000,2014/05/03-06:30:00.000,,
140408SPBR0000002,LP_AUX,5;24;22;32;31,SPBR,wqoc724,,,,,,MULTI_POINT,,,,,,37.777399 -122.184166,,,,"philip Perkins|philip Perkins|735 Spokane AVe\nAlbany, CA 94706\nUS|philper@earthlink.net|510-528-1679",2014/04/09-09:00:00.000,2014/04/10-03:30:00.000,,
140603SPBR0000001,LP_AUX,24;26;22;32,SPBR,wQOC724,,,,,,MULTI_POINT,,,,,,37.423050 -122.084181,,,,"Philip Perkins|Philip Perkins|735 Spokane AVe\nAlbany, CA 94706\nUS|philper@lmi.net|510-528-1679",2014/06/03-13:00:00.000,2014/06/05-06:30:00.000,,
140408SPBR0000001,LP_AUX,23;2;22;26;24,SPBR,wqoc724,,,,,,MULTI_POINT,,,,,,37.429945 -121.926979,,,,"Philip Perkins|Philip Perkins|735 Spokane AVe\nalbany, CA 94706\nUS|philper@earthlink.net|510-528-1679",2014/04/08-09:30:00.000,2014/04/09-03:00:00.000,,
140421SPBR0000001,LP_AUX,2;24;22;26;23,SPBR,wqoc724,,,,,,MULTI_POINT,,,,,,37.411845 -121.955885,,,,"Philip Perkins|Philip Perkins|735 Spokane AVe\nAlbany, CA 94706\nUS|philper@earthlink.net|510-528-1679",2014/04/22-09:30:00.000,2014/04/23-03:00:00.000,,
140303SPBR0000001,LP_AUX,22;24;26;23;2,SPBR,WQOC724,,,,,,MULTI_POINT,,,,,,37.406011 -121.976759,,,,"Philip Perkins|Philip Perkins|735 Spokane AVe\nAlbany, CA 94706\nUS|philper@earthlink.net|510-528-1679",2014/03/03-14:00:00.000,2014/03/05-07:00:00.000,,
140101KEYB1321300,LP_AUX,20;22;23;24;26,KEYB,WQMP499,,,,,,MULTI_POINT,,,,,,37.382225 -121.922892,,,,"NBC|Kevin Parrish|30 ROCKEFELLER PLAZA\nNEW YORK, NY 10112\nUS|kevin.parrish@nbcuni.com|(718) 706-4900",2014/01/01-08:00:00.000,2015/01/01-07:59:59.000,,
140603SPBR0000002,LP_AUX,24;22;32,SPBR,WQOC724,,,,,,MULTI_POINT,,,,,,37.699149 -121.885233,,,,"Philip Perkins|Philip Perkins|735 Spokane AVe\nAlbany, CA 94706\nUS|philper@lmi.net|510-528-1679",2014/06/05-11:00:00.000,2014/06/06-03:30:00.000,,
120221SPBR0000072,LP_AUX,38;21;39;46;22;26;32;25;20;44;40;28;24;23;31;34;45;49;29;41;48;42;33;50;10;51;19;47;43;36;30;35;18;27,SPBR,KSBW,,,,,,MULTI_POINT,,,,,,36.722530 -121.621111; 36.988245 -121.984127; 37.035599 -121.571091; 36.630139 -121.819740; 36.674152 -121.659241; 36.589642 -121.880486; 36.675205 -121.657237; 36.603878 -121.894615; 36.659100 -121.646294; 36.974373 -122.029404; 36.697261 -121.628820; 36.908298 -121.754219; 36.568593 -121.950474; 36.674238 -121.658124; 36.570375 -121.761209; 36.835047 -121.385629; 36.669098 -121.647896; 36.978134 -122.022171; 36.205627 -121.132141; 36.580015 -121.916143; 36.976494 -122.017593; 36.612034 -121.940948; 36.570375 -121.761209; 36.593325 -121.871375; 36.597183 -121.896958,,,,"Hearst Television|Donald Engelhardt|238 John St\nSalinas , CA 93901\nUS|Dengelhardt@hearst.com|831 758-7791",2014/03/01-13:00:00.000,,82800,FREQ=DAILY;UNTIL=20140310T110000Z;INTERVAL=1;WKST=SU
120221SPBR0000072,LP_AUX,38;21;39;46;22;26;32;25;20;44;40;28;24;23;31;34;45;49;29;41;48;42;33;50;10;51;19;47;43;36;30;35;18;27,SPBR,KSBW,,,,,,MULTI_POINT,,,,,,36.722530 -121.621111; 36.988245 -121.984127; 37.035599 -121.571091; 36.630139 -121.819740; 36.674152 -121.659241; 36.589642 -121.880486; 36.675205 -121.657237; 36.603878 -121.894615; 36.659100 -121.646294; 36.974373 -122.029404; 36.697261 -121.628820; 36.908298 -121.754219; 36.568593 -121.950474; 36.674238 -121.658124; 36.570375 -121.761209; 36.835047 -121.385629; 36.669098 -121.647896; 36.978134 -122.022171; 36.205627 -121.132141; 36.580015 -121.916143; 36.976494 -122.017593; 36.612034 -121.940948; 36.570375 -121.761209; 36.593325 -121.871375; 36.597183 -121.896958,,,,"Hearst Television|Donald Engelhardt|238 John St\nSalinas , CA 93901\nUS|Dengelhardt@hearst.com|831 758-7791",2014/03/10-12:00:00.000,,82800,FREQ=DAILY;UNTIL=20150302T080000Z;INTERVAL=1;WKST=SU
140103KEYB6318944,LP_AUX,14;15;18;19;35;45;46;49;51,KEYB,WQMP499,,,,,,MULTI_POINT,,,,,,36.858347 -119.787989,,,,"NBC|Kevin Parrish|30 ROCKEFELLER PLAZA\nNEW YORK, NY 10112\nUS|kevin.parrish@nbcuni.com|(718) 706-4900",2014/01/03-08:00:00.000,2015/01/01-07:59:59.000,,
131216KEYB6987784,LP_AUX,10;30,KEYB,WQMP499,,,,,,MULTI_POINT,,,,,,34.139078 -118.362125,,,,"NBC|Kevin Parrish|30 ROCKEFELLER PLAZA\nNEW YORK, NY 10112\nUS|kevin.parrish@nbcuni.com|(718) 706-4900",2013/12/16-23:00:00.000,2014/02/01-07:45:00.000,,
131216KEYB2200628,LP_AUX,10;30,KEYB,WQMP499,,,,,,MULTI_POINT,,,,,,34.141303 -118.358294,,,,"NBC|Kevin Parrish|30 ROCKEFELLER PLAZA\nNEW YORK, NY 10112\nUS|kevin.parrish@nbcuni.com|(718) 706-4900",2013/12/16-23:00:00.000,2014/02/01-07:45:00.000,,
140101KEYB0238474,LP_AUX,30,KEYB,WQMP499,,,,,,MULTI_POINT,,,,,,34.141067 -118.356808,,,,"NBC|Kevin Parrish|30 ROCKEFELLER PLAZA\nNEW YORK, NY 10112\nUS|kevin.parrish@nbcuni.com|(718) 706-4900",2014/01/01-08:00:00.000,2015/01/01-07:59:59.000,,
140224KEYB2944308,LP_AUX,30,KEYB,WQMP499,,,,,,MULTI_POINT,,,,,,34.102696 -118.340389,,,,"NBC|Kevin Parrish|30 ROCKEFELLER PLAZA\nNEW YORK, NY 10112\nUS|kevin.parrish@nbcuni.com|(718) 706-4900",2014/02/28-05:00:00.000,2014/03/04-04:59:59.000,,
140211SPBR0000001,LP_AUX,45,SPBR,WQOU494,,,,,,MULTI_POINT,,,,,,34.097778 -118.323333,,,,"CNN America, Inc.|Junan Gibson|One CNN Center\nAtlanta, GA 30303\nUS|Junan.Gibson@turner.com|404-827-1500",2014/02/11-05:00:00.000,,84600,FREQ=DAILY;UNTIL=20140310T033000Z;INTERVAL=1;WKST=SU
140211SPBR0000001,LP_AUX,45,SPBR,WQOU494,,,,,,MULTI_POINT,,,,,,34.097778 -118.323333,,,,"CNN America, Inc.|Junan Gibson|One CNN Center\nAtlanta, GA 30303\nUS|Junan.Gibson@turner.com|404-827-1500",2014/03/10-04:00:00.000,,84600,FREQ=DAILY;UNTIL=20141103T043000Z;INTERVAL=1;WKST=SU
140211SPBR0000001,LP_AUX,45,SPBR,WQOU494,,,,,,MULTI_POINT,,,,,,34.097778 -118.323333,,,,"CNN America, Inc.|Junan Gibson|One CNN Center\nAtlanta, GA 30303\nUS|Junan.Gibson@turner.com|404-827-1500",2014/11/03-05:00:00.000,,84600,FREQ=DAILY;UNTIL=20150211T050000Z;INTERVAL=1;WKST=SU
140101KEYB3673485,LP_AUX,30,KEYB,WQMP499,,,,,,MULTI_POINT,,,,,,34.154575 -118.333347,,,,"NBC|Kevin Parrish|30 ROCKEFELLER PLAZA\nNEW YORK, NY 10112\nUS|kevin.parrish@nbcuni.com|(718) 706-4900",2014/01/01-08:00:00.000,2015/01/01-07:59:59.000,,
131101SPBR0000001,LP_AUX,30;5,SPBR,WQPW675,,,,,,MULTI_POINT,,,,,,34.149898 -118.341017,,,,"Warner Bros. Studio Facilities, A Division of WB Studio Enterprises Inc|Ara Mkhitaryan|4000 Warner Blvd.\nBurbank, CA 91522\nUS||(818) 954-2736",2013/11/03-14:00:00.000,,84600,FREQ=DAILY;UNTIL=20140309T123000Z;INTERVAL=1;WKST=SU
131101SPBR0000001,LP_AUX,30;5,SPBR,WQPW675,,,,,,MULTI_POINT,,,,,,34.149898 -118.341017,,,,"Warner Bros. Studio Facilities, A Division of WB Studio Enterprises Inc|Ara Mkhitaryan|4000 Warner Blvd.\nBurbank, CA 91522\nUS||(818) 954-2736",2014/03/09-13:00:00.000,,84600,FREQ=DAILY;UNTIL=20141102T070000Z;INTERVAL=1;WKST=SU
140601SPBR0000001,LP_AUX,5;30,SPBR,WQRB615,,,,,,MULTI_POINT,,,,,,34.041434 -118.268955,,,,"Amazing Audio Inc.|Jeffrey M Jones|3400 Tessmer Road\nAnn Arbor, MI 48103\nUS|jeffmjones@mac.com|(734) 761-1920",2014/06/01-12:00:00.000,2014/06/13-12:00:00.000,,
140226KEYB8850874,LP_AUX,30,KEYB,WQMP499,,,,,,MULTI_POINT,,,,,,34.023533 -118.281167,,,,"NBC|Kevin Parrish|30 ROCKEFELLER PLAZA\nNEW YORK, NY 10112\nUS|kevin.parrish@nbcuni.com|(718) 706-4900",2014/04/30-04:00:00.000,2014/05/02-03:59:59.000,,
140502SPBR0000002,LP_AUX,44;30,SPBR,WQQS429,,,,,,MULTI_POINT,,,,,,33.864338 -118.261124,,,,"Clean Wireless Audio LLC|Jason Glass|8217 Cedar Grove Rd.\nCross Plains, TN 37049\nUS|jglass@cleanwirelessaudio.com|615-654-6199",2014/05/09-14:00:00.000,,61200,"FREQ=DAILY;UNTIL=20140512T070000Z;INTERVAL=1;BYDAY=FR,SA;WKST=SU"
140209KEYB9553160,LP_AUX,21;27;33;45;46;49,KEYB,WQRS850,,,,,,MULTI_POINT,,,,,,36.124747 -115.172325,,,,"Cirque du Soleil|Jason Pritchard|980 Kelly Johnson Drive, STE 200\nLas Vegas, NV 89119\nUS|jason.pritchard@cirquedusoleil.com|(702) 692-8347",2014/02/10-20:00:00.000,2015/01/17-08:00:00.000,,"FREQ=WEEKLY;UNTIL=20150209T000000Z;INTERVAL=1;BYDAY=SU,MO,TU,WE,SA;WKST=SU"
140112KEYB9919816,LP_AUX,33;44;46;51,KEYB,WQRS850,,,,,,MULTI_POINT,,,,,,36.113011 -115.176522,,,,"Cirque du Soleil|Jason Pritchard|980 Kelly Johnson Drive Suite 200\nLas Vegas, NV 89119\nUS|gavin.whiteley@cirquedusoleil.com|(702) 692-8347",2014/01/12-20:00:00.000,2015/01/11-08:00:00.000,,"FREQ=WEEKLY;UNTIL=20150112T000000Z;INTERVAL=1;BYDAY=SU,WE,TH,FR,SA;WKST=SU"
